Card on the Table: ; Cards in Hand: ; Possible Move: ; Applicable rule: 
Blue 6 ; Yellow 8, Blue 1, Blue Reverse, Red 2, Yellow Reverse, Wild Normal, Green 8 ;Blue 1;it is the same color as the tabled card
Blue 6 ; Yellow 8, Blue 1, Blue Reverse, Red 2, Yellow Reverse, Wild Normal, Green 8 ;Blue Reverse;it is the same color as the tabled card
Blue 6 ; Yellow 8, Blue 1, Blue Reverse, Red 2, Yellow Reverse, Wild Normal, Green 8 ;Wild Normal;Wild cards can be played on any colour
Wild Draw 4 ; Blue 6, Blue 4, Blue 6, Yellow 2, Green 3, Yellow 6, Red 6 ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Blue Reverse ; Blue 6, Yellow 7, Blue Draw 2, Green 6, Green Draw 2, Green 1, Blue 9 ;Blue 6;it is the same color as the tabled card
Blue Reverse ; Blue 6, Yellow 7, Blue Draw 2, Green 6, Green Draw 2, Green 1, Blue 9 ;Blue Draw 2;it is the same color as the tabled card
Blue Reverse ; Blue 6, Yellow 7, Blue Draw 2, Green 6, Green Draw 2, Green 1, Blue 9 ;Blue 9;it is the same color as the tabled card
Red 1 ; Blue 7, Red 6, Red Reverse, Blue 3, Yellow Skip, Blue 6, Green 2 ;Red 6;it is the same color as the tabled card
Red 1 ; Blue 7, Red 6, Red Reverse, Blue 3, Yellow Skip, Blue 6, Green 2 ;Red Reverse;it is the same color as the tabled card
Green 9 ; Yellow 5, Red 3, Blue 6, Blue 1, Green 6, Red Reverse, Blue 3 ;Green 6;it is the same color as the tabled card
Red 1 ; Green Reverse, Blue 3, Blue 4, Blue Draw 2, Yellow 1, Yellow 2, Wild Normal ;Yellow 1;it is the same type as the tabled card
Red 1 ; Green Reverse, Blue 3, Blue 4, Blue Draw 2, Yellow 1, Yellow 2, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Wild Normal ; Red 2, Yellow Draw 2, Red 5, Red 9, Red 4, Red Draw 2, Blue 4 ;Red 2;Any card can be played on a Wild Normal
Wild Normal ; Red 2, Yellow Draw 2, Red 5, Red 9, Red 4, Red Draw 2, Blue 4 ;Yellow Draw 2;Any card can be played on a Wild Normal
Wild Normal ; Red 2, Yellow Draw 2, Red 5, Red 9, Red 4, Red Draw 2, Blue 4 ;Red 5;Any card can be played on a Wild Normal
Wild Normal ; Red 2, Yellow Draw 2, Red 5, Red 9, Red 4, Red Draw 2, Blue 4 ;Red 9;Any card can be played on a Wild Normal
Wild Normal ; Red 2, Yellow Draw 2, Red 5, Red 9, Red 4, Red Draw 2, Blue 4 ;Red 4;Any card can be played on a Wild Normal
Wild Normal ; Red 2, Yellow Draw 2, Red 5, Red 9, Red 4, Red Draw 2, Blue 4 ;Red Draw 2;Any card can be played on a Wild Normal
Wild Normal ; Red 2, Yellow Draw 2, Red 5, Red 9, Red 4, Red Draw 2, Blue 4 ;Blue 4;Any card can be played on a Wild Normal
Yellow 5 ; Yellow 4, Blue 3, Red 3, Blue 1, Red 7, Blue 2, Green 5 ;Yellow 4;it is the same color as the tabled card
Yellow 5 ; Yellow 4, Blue 3, Red 3, Blue 1, Red 7, Blue 2, Green 5 ;Green 5;it is the same type as the tabled card
Green 1 ; Yellow 3, Red Reverse, Yellow Reverse, Blue 6, Yellow Draw 2, Red 1, Blue 0 ;Red 1;it is the same type as the tabled card
Blue 7 ; Green 4, Blue 4, Blue 7, Yellow 6, Red 7, Green 4, Blue 9 ;Blue 4;it is the same color as the tabled card
Blue 7 ; Green 4, Blue 4, Blue 7, Yellow 6, Red 7, Green 4, Blue 9 ;Blue 7;it is the same color as the tabled card
Blue 7 ; Green 4, Blue 4, Blue 7, Yellow 6, Red 7, Green 4, Blue 9 ;Red 7;it is the same type as the tabled card
Blue 7 ; Green 4, Blue 4, Blue 7, Yellow 6, Red 7, Green 4, Blue 9 ;Blue 9;it is the same color as the tabled card
Blue Skip ; Red 2, Red 4, Yellow 1, Yellow 4, Blue 8, Red Draw 2, Yellow 2 ;Blue 8;it is the same color as the tabled card
Yellow Draw 2 ; Green 1, Blue Reverse, Blue Draw 2, Yellow Skip, Yellow 5, Yellow 6, Blue Skip ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue Draw 2 ; Yellow 2, Red Draw 2, Yellow 3, Red 3, Yellow Reverse, Red 6, Blue 4 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Red 1 ; Blue 0, Yellow 9, Yellow 4, Red 5, Green 4, Blue 8, Wild Draw 4 ;Red 5;it is the same color as the tabled card
Red 1 ; Blue 0, Yellow 9, Yellow 4, Red 5, Green 4, Blue 8, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Red 1 ; Wild Draw 4, Green 2, Blue 9, Blue Reverse, Green Draw 2, Red 0, Blue Draw 2 ;Wild Draw 4;Wild cards can be played on any colour
Red 1 ; Wild Draw 4, Green 2, Blue 9, Blue Reverse, Green Draw 2, Red 0, Blue Draw 2 ;Red 0;it is the same color as the tabled card
Red Skip ; Green 5, Red 5, Yellow 5, Blue Reverse, Green 9, Red 1, Yellow 4 ;Red 5;it is the same color as the tabled card
Red Skip ; Green 5, Red 5, Yellow 5, Blue Reverse, Green 9, Red 1, Yellow 4 ;Red 1;it is the same color as the tabled card
Red 3 ; Red Skip, Red 8, Green 3, Blue Skip, Red Draw 2, Blue 6, Green 7 ;Red Skip;it is the same color as the tabled card
Red 3 ; Red Skip, Red 8, Green 3, Blue Skip, Red Draw 2, Blue 6, Green 7 ;Red 8;it is the same color as the tabled card
Red 3 ; Red Skip, Red 8, Green 3, Blue Skip, Red Draw 2, Blue 6, Green 7 ;Green 3;it is the same type as the tabled card
Red 3 ; Red Skip, Red 8, Green 3, Blue Skip, Red Draw 2, Blue 6, Green 7 ;Red Draw 2;it is the same color as the tabled card
Yellow Draw 2 ; Wild Normal, Red 2, Red 5, Red 8, Red Draw 2, Green 7, Red Reverse ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue 4 ; Yellow Reverse, Wild Normal, Blue Draw 2, Red 4, Yellow 0, Red 3, Yellow 9 ;Wild Normal;Wild cards can be played on any colour
Blue 4 ; Yellow Reverse, Wild Normal, Blue Draw 2, Red 4, Yellow 0, Red 3, Yellow 9 ;Blue Draw 2;it is the same color as the tabled card
Blue 4 ; Yellow Reverse, Wild Normal, Blue Draw 2, Red 4, Yellow 0, Red 3, Yellow 9 ;Red 4;it is the same type as the tabled card
Blue Reverse ; Yellow Reverse, Yellow 8, Blue 5, Blue 7, Green 5, Blue 1, Red 1 ;Yellow Reverse;it is the same type as the tabled card
Blue Reverse ; Yellow Reverse, Yellow 8, Blue 5, Blue 7, Green 5, Blue 1, Red 1 ;Blue 5;it is the same color as the tabled card
Blue Reverse ; Yellow Reverse, Yellow 8, Blue 5, Blue 7, Green 5, Blue 1, Red 1 ;Blue 7;it is the same color as the tabled card
Blue Reverse ; Yellow Reverse, Yellow 8, Blue 5, Blue 7, Green 5, Blue 1, Red 1 ;Blue 1;it is the same color as the tabled card
Red Draw 2 ; Wild Draw 4, Wild Normal, Blue 2, Green 3, Green Skip, Green Skip, Green 9 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Green 3 ; Red Reverse, Blue 7, Red 6, Red 4, Red 9, Green 6, Blue 8 ;Green 6;it is the same color as the tabled card
Red 1 ; Red 6, Green Draw 2, Yellow 1, Wild Normal, Yellow 0, Green 6, Green 5 ;Red 6;it is the same color as the tabled card
Red 1 ; Red 6, Green Draw 2, Yellow 1, Wild Normal, Yellow 0, Green 6, Green 5 ;Yellow 1;it is the same type as the tabled card
Red 1 ; Red 6, Green Draw 2, Yellow 1, Wild Normal, Yellow 0, Green 6, Green 5 ;Wild Normal;Wild cards can be played on any colour
Blue 2 ; Red 2, Blue 6, Blue 1, Yellow Draw 2, Wild Normal, Red Skip, Green 0 ;Red 2;it is the same type as the tabled card
Blue 2 ; Red 2, Blue 6, Blue 1, Yellow Draw 2, Wild Normal, Red Skip, Green 0 ;Blue 6;it is the same color as the tabled card
Blue 2 ; Red 2, Blue 6, Blue 1, Yellow Draw 2, Wild Normal, Red Skip, Green 0 ;Blue 1;it is the same color as the tabled card
Blue 2 ; Red 2, Blue 6, Blue 1, Yellow Draw 2, Wild Normal, Red Skip, Green 0 ;Wild Normal;Wild cards can be played on any colour
Green 1 ; Red 0, Red 6, Red Draw 2, Blue 9, Yellow 9, Yellow 5, Yellow Reverse ;Pick up 1 card;If there are no allowed moves you must pick up
Yellow 6 ; Blue Skip, Green 3, Red 4, Red 2, Blue 7, Blue 5, Red 0 ;Pick up 1 card;If there are no allowed moves you must pick up
Red 6 ; Yellow 4, Blue 3, Red Draw 2, Green Skip, Red 0, Red Reverse, Blue Skip ;Red Draw 2;it is the same color as the tabled card
Red 6 ; Yellow 4, Blue 3, Red Draw 2, Green Skip, Red 0, Red Reverse, Blue Skip ;Red 0;it is the same color as the tabled card
Red 6 ; Yellow 4, Blue 3, Red Draw 2, Green Skip, Red 0, Red Reverse, Blue Skip ;Red Reverse;it is the same color as the tabled card
Green 0 ; Red 1, Yellow 6, Blue 7, Wild Normal, Green 3, Blue Reverse, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Green 0 ; Red 1, Yellow 6, Blue 7, Wild Normal, Green 3, Blue Reverse, Wild Normal ;Green 3;it is the same color as the tabled card
Green 0 ; Red 1, Yellow 6, Blue 7, Wild Normal, Green 3, Blue Reverse, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Yellow 3 ; Red Draw 2, Yellow 4, Yellow 6, Blue 5, Red 7, Blue Draw 2, Wild Draw 4 ;Yellow 4;it is the same color as the tabled card
Yellow 3 ; Red Draw 2, Yellow 4, Yellow 6, Blue 5, Red 7, Blue Draw 2, Wild Draw 4 ;Yellow 6;it is the same color as the tabled card
Yellow 3 ; Red Draw 2, Yellow 4, Yellow 6, Blue 5, Red 7, Blue Draw 2, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Green Draw 2 ; Blue 6, Yellow 0, Wild Draw 4, Red Reverse, Wild Draw 4, Red Skip, Yellow 4 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Red Draw 2 ; Green Skip, Green 3, Yellow 2, Red Reverse, Green Skip, Green Skip, Green 1 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue Draw 2 ; Yellow 8, Blue 1, Wild Normal, Red Draw 2, Red 8, Red 9, Green 9 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Green 1 ; Yellow 9, Red 2, Green Skip, Green 2, Green 2, Green 8, Red Skip ;Green Skip;it is the same color as the tabled card
Green 1 ; Yellow 9, Red 2, Green Skip, Green 2, Green 2, Green 8, Red Skip ;Green 2;it is the same color as the tabled card
Green 1 ; Yellow 9, Red 2, Green Skip, Green 2, Green 2, Green 8, Red Skip ;Green 2;it is the same color as the tabled card
Green 1 ; Yellow 9, Red 2, Green Skip, Green 2, Green 2, Green 8, Red Skip ;Green 8;it is the same color as the tabled card
Yellow 0 ; Blue Reverse, Wild Draw 4, Green 7, Red Draw 2, Yellow 5, Yellow 3, Yellow 7 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 0 ; Blue Reverse, Wild Draw 4, Green 7, Red Draw 2, Yellow 5, Yellow 3, Yellow 7 ;Yellow 5;it is the same color as the tabled card
Yellow 0 ; Blue Reverse, Wild Draw 4, Green 7, Red Draw 2, Yellow 5, Yellow 3, Yellow 7 ;Yellow 3;it is the same color as the tabled card
Yellow 0 ; Blue Reverse, Wild Draw 4, Green 7, Red Draw 2, Yellow 5, Yellow 3, Yellow 7 ;Yellow 7;it is the same color as the tabled card
Yellow 3 ; Blue 1, Green 6, Red 7, Green Draw 2, Blue 2, Yellow 8, Green 4 ;Yellow 8;it is the same color as the tabled card
Blue 5 ; Wild Normal, Blue 1, Blue 2, Blue 1, Yellow 4, Blue Draw 2, Wild Draw 4 ;Wild Normal;Wild cards can be played on any colour
Blue 5 ; Wild Normal, Blue 1, Blue 2, Blue 1, Yellow 4, Blue Draw 2, Wild Draw 4 ;Blue 1;it is the same color as the tabled card
Blue 5 ; Wild Normal, Blue 1, Blue 2, Blue 1, Yellow 4, Blue Draw 2, Wild Draw 4 ;Blue 2;it is the same color as the tabled card
Blue 5 ; Wild Normal, Blue 1, Blue 2, Blue 1, Yellow 4, Blue Draw 2, Wild Draw 4 ;Blue 1;it is the same color as the tabled card
Blue 5 ; Wild Normal, Blue 1, Blue 2, Blue 1, Yellow 4, Blue Draw 2, Wild Draw 4 ;Blue Draw 2;it is the same color as the tabled card
Blue 5 ; Wild Normal, Blue 1, Blue 2, Blue 1, Yellow 4, Blue Draw 2, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 3 ; Green Reverse, Red 2, Red Skip, Blue Draw 2, Red 4, Wild Draw 4, Red 1 ;Wild Draw 4;Wild cards can be played on any colour
Green 4 ; Blue Skip, Red 2, Wild Draw 4, Red Draw 2, Blue 3, Green 3, Wild Normal ;Wild Draw 4;Wild cards can be played on any colour
Green 4 ; Blue Skip, Red 2, Wild Draw 4, Red Draw 2, Blue 3, Green 3, Wild Normal ;Green 3;it is the same color as the tabled card
Green 4 ; Blue Skip, Red 2, Wild Draw 4, Red Draw 2, Blue 3, Green 3, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Green 5 ; Blue 2, Red 0, Green 5, Green 0, Yellow 7, Green 6, Yellow 5 ;Green 5;it is the same color as the tabled card
Green 5 ; Blue 2, Red 0, Green 5, Green 0, Yellow 7, Green 6, Yellow 5 ;Green 0;it is the same color as the tabled card
Green 5 ; Blue 2, Red 0, Green 5, Green 0, Yellow 7, Green 6, Yellow 5 ;Green 6;it is the same color as the tabled card
Green 5 ; Blue 2, Red 0, Green 5, Green 0, Yellow 7, Green 6, Yellow 5 ;Yellow 5;it is the same type as the tabled card
Green 4 ; Yellow 9, Green Draw 2, Green Draw 2, Green 6, Blue 1, Green 9, Green 5 ;Green Draw 2;it is the same color as the tabled card
Green 4 ; Yellow 9, Green Draw 2, Green Draw 2, Green 6, Blue 1, Green 9, Green 5 ;Green Draw 2;it is the same color as the tabled card
Green 4 ; Yellow 9, Green Draw 2, Green Draw 2, Green 6, Blue 1, Green 9, Green 5 ;Green 6;it is the same color as the tabled card
Green 4 ; Yellow 9, Green Draw 2, Green Draw 2, Green 6, Blue 1, Green 9, Green 5 ;Green 9;it is the same color as the tabled card
Green 4 ; Yellow 9, Green Draw 2, Green Draw 2, Green 6, Blue 1, Green 9, Green 5 ;Green 5;it is the same color as the tabled card
Green 3 ; Wild Normal, Green 1, Yellow 4, Wild Normal, Blue Skip, Green 4, Yellow 1 ;Wild Normal;Wild cards can be played on any colour
Green 3 ; Wild Normal, Green 1, Yellow 4, Wild Normal, Blue Skip, Green 4, Yellow 1 ;Green 1;it is the same color as the tabled card
Green 3 ; Wild Normal, Green 1, Yellow 4, Wild Normal, Blue Skip, Green 4, Yellow 1 ;Wild Normal;Wild cards can be played on any colour
Green 3 ; Wild Normal, Green 1, Yellow 4, Wild Normal, Blue Skip, Green 4, Yellow 1 ;Green 4;it is the same color as the tabled card
Green 3 ; Yellow 6, Green Reverse, Red 1, Blue 0, Wild Normal, Blue Skip, Red 8 ;Green Reverse;it is the same color as the tabled card
Green 3 ; Yellow 6, Green Reverse, Red 1, Blue 0, Wild Normal, Blue Skip, Red 8 ;Wild Normal;Wild cards can be played on any colour
Green Draw 2 ; Red Draw 2, Yellow 9, Green 1, Yellow 4, Red 8, Yellow Draw 2, Red Draw 2 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Red 2 ; Blue 3, Yellow 4, Yellow 0, Blue Reverse, Blue 9, Red 6, Green Reverse ;Red 6;it is the same color as the tabled card
Green 6 ; Green Draw 2, Blue 8, Blue 1, Yellow 5, Green 8, Green Skip, Red 2 ;Green Draw 2;it is the same color as the tabled card
Green 6 ; Green Draw 2, Blue 8, Blue 1, Yellow 5, Green 8, Green Skip, Red 2 ;Green 8;it is the same color as the tabled card
Green 6 ; Green Draw 2, Blue 8, Blue 1, Yellow 5, Green 8, Green Skip, Red 2 ;Green Skip;it is the same color as the tabled card
Yellow Draw 2 ; Blue 4, Red 2, Blue 6, Yellow Draw 2, Blue 9, Red 5, Blue Reverse ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Red Reverse ; Red Skip, Blue 1, Green 2, Red Reverse, Blue Draw 2, Wild Draw 4, Yellow Draw 2 ;Red Skip;it is the same color as the tabled card
Red Reverse ; Red Skip, Blue 1, Green 2, Red Reverse, Blue Draw 2, Wild Draw 4, Yellow Draw 2 ;Red Reverse;it is the same color as the tabled card
Red Reverse ; Red Skip, Blue 1, Green 2, Red Reverse, Blue Draw 2, Wild Draw 4, Yellow Draw 2 ;Wild Draw 4;Wild cards can be played on any colour
Blue 9 ; Green 4, Green 4, Yellow 7, Blue 7, Red 6, Red 5, Yellow 4 ;Blue 7;it is the same color as the tabled card
Green Reverse ; Wild Normal, Green 8, Green 7, Green Skip, Green Draw 2, Red Skip, Blue 3 ;Wild Normal;Wild cards can be played on any colour
Green Reverse ; Wild Normal, Green 8, Green 7, Green Skip, Green Draw 2, Red Skip, Blue 3 ;Green 8;it is the same color as the tabled card
Green Reverse ; Wild Normal, Green 8, Green 7, Green Skip, Green Draw 2, Red Skip, Blue 3 ;Green 7;it is the same color as the tabled card
Green Reverse ; Wild Normal, Green 8, Green 7, Green Skip, Green Draw 2, Red Skip, Blue 3 ;Green Skip;it is the same color as the tabled card
Green Reverse ; Wild Normal, Green 8, Green 7, Green Skip, Green Draw 2, Red Skip, Blue 3 ;Green Draw 2;it is the same color as the tabled card
Wild Normal ; Green 6, Yellow 4, Blue 3, Wild Draw 4, Yellow 5, Red Reverse, Red 9 ;Green 6;Any card can be played on a Wild Normal
Wild Normal ; Green 6, Yellow 4, Blue 3, Wild Draw 4, Yellow 5, Red Reverse, Red 9 ;Yellow 4;Any card can be played on a Wild Normal
Wild Normal ; Green 6, Yellow 4, Blue 3, Wild Draw 4, Yellow 5, Red Reverse, Red 9 ;Blue 3;Any card can be played on a Wild Normal
Wild Normal ; Green 6, Yellow 4, Blue 3, Wild Draw 4, Yellow 5, Red Reverse, Red 9 ;Wild Draw 4;Any card can be played on a Wild Normal
Wild Normal ; Green 6, Yellow 4, Blue 3, Wild Draw 4, Yellow 5, Red Reverse, Red 9 ;Yellow 5;Any card can be played on a Wild Normal
Wild Normal ; Green 6, Yellow 4, Blue 3, Wild Draw 4, Yellow 5, Red Reverse, Red 9 ;Red Reverse;Any card can be played on a Wild Normal
Wild Normal ; Green 6, Yellow 4, Blue 3, Wild Draw 4, Yellow 5, Red Reverse, Red 9 ;Red 9;Any card can be played on a Wild Normal
Blue Skip ; Green Reverse, Blue 8, Yellow 0, Red 5, Yellow 2, Green 1, Green Reverse ;Blue 8;it is the same color as the tabled card
Wild Normal ; Red 6, Wild Normal, Red 7, Red 4, Yellow 5, Red 5, Wild Normal ;Red 6;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Wild Normal, Red 7, Red 4, Yellow 5, Red 5, Wild Normal ;Wild Normal;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Wild Normal, Red 7, Red 4, Yellow 5, Red 5, Wild Normal ;Red 7;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Wild Normal, Red 7, Red 4, Yellow 5, Red 5, Wild Normal ;Red 4;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Wild Normal, Red 7, Red 4, Yellow 5, Red 5, Wild Normal ;Yellow 5;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Wild Normal, Red 7, Red 4, Yellow 5, Red 5, Wild Normal ;Red 5;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Wild Normal, Red 7, Red 4, Yellow 5, Red 5, Wild Normal ;Wild Normal;Any card can be played on a Wild Normal
Red 5 ; Green 5, Red Draw 2, Green 4, Blue 9, Green Draw 2, Red 6, Wild Draw 4 ;Green 5;it is the same type as the tabled card
Red 5 ; Green 5, Red Draw 2, Green 4, Blue 9, Green Draw 2, Red 6, Wild Draw 4 ;Red Draw 2;it is the same color as the tabled card
Red 5 ; Green 5, Red Draw 2, Green 4, Blue 9, Green Draw 2, Red 6, Wild Draw 4 ;Red 6;it is the same color as the tabled card
Red 5 ; Green 5, Red Draw 2, Green 4, Blue 9, Green Draw 2, Red 6, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 5 ; Yellow 3, Wild Draw 4, Yellow 0, Green 2, Wild Normal, Red Draw 2, Blue 4 ;Yellow 3;it is the same color as the tabled card
Yellow 5 ; Yellow 3, Wild Draw 4, Yellow 0, Green 2, Wild Normal, Red Draw 2, Blue 4 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 5 ; Yellow 3, Wild Draw 4, Yellow 0, Green 2, Wild Normal, Red Draw 2, Blue 4 ;Yellow 0;it is the same color as the tabled card
Yellow 5 ; Yellow 3, Wild Draw 4, Yellow 0, Green 2, Wild Normal, Red Draw 2, Blue 4 ;Wild Normal;Wild cards can be played on any colour
Red 4 ; Green 1, Red 6, Blue 5, Red 6, Blue 7, Blue 7, Blue 4 ;Red 6;it is the same color as the tabled card
Red 4 ; Green 1, Red 6, Blue 5, Red 6, Blue 7, Blue 7, Blue 4 ;Red 6;it is the same color as the tabled card
Red 4 ; Green 1, Red 6, Blue 5, Red 6, Blue 7, Blue 7, Blue 4 ;Blue 4;it is the same type as the tabled card
Yellow 1 ; Green 4, Yellow 0, Red 3, Red 9, Blue 4, Red 7, Red 9 ;Yellow 0;it is the same color as the tabled card
Blue Reverse ; Blue 4, Green 2, Yellow 3, Blue 2, Yellow 5, Green Reverse, Blue Skip ;Blue 4;it is the same color as the tabled card
Blue Reverse ; Blue 4, Green 2, Yellow 3, Blue 2, Yellow 5, Green Reverse, Blue Skip ;Blue 2;it is the same color as the tabled card
Blue Reverse ; Blue 4, Green 2, Yellow 3, Blue 2, Yellow 5, Green Reverse, Blue Skip ;Green Reverse;it is the same type as the tabled card
Blue Reverse ; Blue 4, Green 2, Yellow 3, Blue 2, Yellow 5, Green Reverse, Blue Skip ;Blue Skip;it is the same color as the tabled card
Red 3 ; Blue 2, Wild Normal, Yellow 2, Green 8, Blue 5, Green 1, Red 1 ;Wild Normal;Wild cards can be played on any colour
Red 3 ; Blue 2, Wild Normal, Yellow 2, Green 8, Blue 5, Green 1, Red 1 ;Red 1;it is the same color as the tabled card
Green 2 ; Yellow Reverse, Red 4, Red Draw 2, Green 9, Red 6, Blue 1, Yellow Skip ;Green 9;it is the same color as the tabled card
Green 2 ; Yellow 9, Wild Normal, Red Draw 2, Red 0, Yellow Reverse, Blue Skip, Green Skip ;Wild Normal;Wild cards can be played on any colour
Green 2 ; Yellow 9, Wild Normal, Red Draw 2, Red 0, Yellow Reverse, Blue Skip, Green Skip ;Green Skip;it is the same color as the tabled card
Green 1 ; Blue 9, Red Reverse, Red 2, Yellow 2, Yellow 1, Red 4, Green 4 ;Yellow 1;it is the same type as the tabled card
Green 1 ; Blue 9, Red Reverse, Red 2, Yellow 2, Yellow 1, Red 4, Green 4 ;Green 4;it is the same color as the tabled card
Green Reverse ; Red 9, Red 7, Wild Normal, Red 3, Wild Draw 4, Yellow Reverse, Yellow 0 ;Wild Normal;Wild cards can be played on any colour
Green Reverse ; Red 9, Red 7, Wild Normal, Red 3, Wild Draw 4, Yellow Reverse, Yellow 0 ;Wild Draw 4;Wild cards can be played on any colour
Green Reverse ; Red 9, Red 7, Wild Normal, Red 3, Wild Draw 4, Yellow Reverse, Yellow 0 ;Yellow Reverse;it is the same type as the tabled card
Blue 4 ; Yellow 5, Red 9, Red Reverse, Green 3, Wild Draw 4, Green 3, Red 5 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 6 ; Green 1, Red 1, Red 5, Green 9, Wild Draw 4, Red 0, Blue Draw 2 ;Wild Draw 4;Wild cards can be played on any colour
Green Draw 2 ; Green 3, Green Skip, Green 1, Yellow 6, Yellow 3, Green 7, Green 2 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Green Draw 2 ; Yellow 6, Red Draw 2, Blue 7, Red 1, Red 9, Green 2, Yellow 2 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Wild Draw 4 ; Yellow 2, Red 9, Blue Reverse, Yellow 8, Red 1, Green 8, Green Skip ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Yellow 8 ; Yellow Skip, Green 2, Yellow 9, Wild Draw 4, Green 5, Green 1, Red Skip ;Yellow Skip;it is the same color as the tabled card
Yellow 8 ; Yellow Skip, Green 2, Yellow 9, Wild Draw 4, Green 5, Green 1, Red Skip ;Yellow 9;it is the same color as the tabled card
Yellow 8 ; Yellow Skip, Green 2, Yellow 9, Wild Draw 4, Green 5, Green 1, Red Skip ;Wild Draw 4;Wild cards can be played on any colour
Wild Normal ; Red 3, Wild Draw 4, Blue 4, Red 3, Blue Reverse, Yellow 2, Red 2 ;Red 3;Any card can be played on a Wild Normal
Wild Normal ; Red 3, Wild Draw 4, Blue 4, Red 3, Blue Reverse, Yellow 2, Red 2 ;Wild Draw 4;Any card can be played on a Wild Normal
Wild Normal ; Red 3, Wild Draw 4, Blue 4, Red 3, Blue Reverse, Yellow 2, Red 2 ;Blue 4;Any card can be played on a Wild Normal
Wild Normal ; Red 3, Wild Draw 4, Blue 4, Red 3, Blue Reverse, Yellow 2, Red 2 ;Red 3;Any card can be played on a Wild Normal
Wild Normal ; Red 3, Wild Draw 4, Blue 4, Red 3, Blue Reverse, Yellow 2, Red 2 ;Blue Reverse;Any card can be played on a Wild Normal
Wild Normal ; Red 3, Wild Draw 4, Blue 4, Red 3, Blue Reverse, Yellow 2, Red 2 ;Yellow 2;Any card can be played on a Wild Normal
Wild Normal ; Red 3, Wild Draw 4, Blue 4, Red 3, Blue Reverse, Yellow 2, Red 2 ;Red 2;Any card can be played on a Wild Normal
Green 7 ; Green 7, Yellow 4, Green 5, Wild Draw 4, Yellow 9, Green Draw 2, Blue 1 ;Green 7;it is the same color as the tabled card
Green 7 ; Green 7, Yellow 4, Green 5, Wild Draw 4, Yellow 9, Green Draw 2, Blue 1 ;Green 5;it is the same color as the tabled card
Green 7 ; Green 7, Yellow 4, Green 5, Wild Draw 4, Yellow 9, Green Draw 2, Blue 1 ;Wild Draw 4;Wild cards can be played on any colour
Green 7 ; Green 7, Yellow 4, Green 5, Wild Draw 4, Yellow 9, Green Draw 2, Blue 1 ;Green Draw 2;it is the same color as the tabled card
Green 4 ; Red Skip, Green 3, Red 3, Yellow 2, Wild Draw 4, Blue 3, Blue 4 ;Green 3;it is the same color as the tabled card
Green 4 ; Red Skip, Green 3, Red 3, Yellow 2, Wild Draw 4, Blue 3, Blue 4 ;Wild Draw 4;Wild cards can be played on any colour
Green 4 ; Red Skip, Green 3, Red 3, Yellow 2, Wild Draw 4, Blue 3, Blue 4 ;Blue 4;it is the same type as the tabled card
Blue Reverse ; Red 7, Green 3, Blue 3, Green 8, Yellow 7, Yellow 5, Blue 8 ;Blue 3;it is the same color as the tabled card
Blue Reverse ; Red 7, Green 3, Blue 3, Green 8, Yellow 7, Yellow 5, Blue 8 ;Blue 8;it is the same color as the tabled card
Blue 6 ; Wild Normal, Green Skip, Green Reverse, Yellow 3, Yellow Draw 2, Red Reverse, Yellow 6 ;Wild Normal;Wild cards can be played on any colour
Blue 6 ; Wild Normal, Green Skip, Green Reverse, Yellow 3, Yellow Draw 2, Red Reverse, Yellow 6 ;Yellow 6;it is the same type as the tabled card
