Card on the Table:,Cards in Hand:,Possible Move:,Applicable rule:
Green 8,"Blue 5, Blue 1, Red 7, Wild Normal, Blue Reverse, Blue 7, Red Reverse",Wild Normal,Wild cards can be played on any colour
Blue 3,"Yellow 3, Blue 4, Yellow 4, Wild Draw 4, Red Reverse, Green 5, Blue 2",Yellow 3,Wild cards can be played on any colour
Blue 3,"Yellow 3, Blue 4, Yellow 4, Wild Draw 4, Red Reverse, Green 5, Blue 2",Blue 4,it is the same color as the tabled card
Blue 3,"Yellow 3, Blue 4, Yellow 4, Wild Draw 4, Red Reverse, Green 5, Blue 2",Wild Draw 4,Wild cards can be played on any colour
Blue 3,"Yellow 3, Blue 4, Yellow 4, Wild Draw 4, Red Reverse, Green 5, Blue 2",Blue 2,it is the same color as the tabled card
Green 3,"Red 3, Green Reverse, Blue 7, Red 8, Wild Normal, Yellow 3, Yellow 2",Red 3,Wild cards can be played on any colour
Green 3,"Red 3, Green Reverse, Blue 7, Red 8, Wild Normal, Yellow 3, Yellow 2",Green Reverse,it is the same color as the tabled card
Green 3,"Red 3, Green Reverse, Blue 7, Red 8, Wild Normal, Yellow 3, Yellow 2",Wild Normal,Wild cards can be played on any colour
Green 3,"Red 3, Green Reverse, Blue 7, Red 8, Wild Normal, Yellow 3, Yellow 2",Yellow 3,Wild cards can be played on any colour
Green Reverse,"Green Draw 2, Red 6, Yellow 2, Red Draw 2, Red 7, Yellow 3, Blue 5",Green Draw 2,it is the same color as the tabled card
Blue Reverse,"Blue 2, Blue 0, Blue 8, Blue Draw 2, Blue 6, Blue 2, Red 9",Blue 2,it is the same color as the tabled card
Blue Reverse,"Blue 2, Blue 0, Blue 8, Blue Draw 2, Blue 6, Blue 2, Red 9",Blue 0,it is the same color as the tabled card
Blue Reverse,"Blue 2, Blue 0, Blue 8, Blue Draw 2, Blue 6, Blue 2, Red 9",Blue 8,it is the same color as the tabled card
Blue Reverse,"Blue 2, Blue 0, Blue 8, Blue Draw 2, Blue 6, Blue 2, Red 9",Blue Draw 2,it is the same color as the tabled card
Blue Reverse,"Blue 2, Blue 0, Blue 8, Blue Draw 2, Blue 6, Blue 2, Red 9",Blue 6,it is the same color as the tabled card
Blue Reverse,"Blue 2, Blue 0, Blue 8, Blue Draw 2, Blue 6, Blue 2, Red 9",Blue 2,it is the same color as the tabled card
Red 1,"Red 9, Red 8, Red 4, Green 6, Red 3, Blue 8, Yellow 1",Red 9,it is the same color as the tabled card
Red 1,"Red 9, Red 8, Red 4, Green 6, Red 3, Blue 8, Yellow 1",Red 8,it is the same color as the tabled card
Red 1,"Red 9, Red 8, Red 4, Green 6, Red 3, Blue 8, Yellow 1",Red 4,it is the same color as the tabled card
Red 1,"Red 9, Red 8, Red 4, Green 6, Red 3, Blue 8, Yellow 1",Red 3,it is the same color as the tabled card
Red 1,"Red 9, Red 8, Red 4, Green 6, Red 3, Blue 8, Yellow 1",Yellow 1,Wild cards can be played on any colour
Red 3,"Red 3, Green Draw 2, Yellow Draw 2, Yellow 4, Green 8, Blue Draw 2, Yellow 1",Red 3,it is the same color as the tabled card
Blue 6,"Yellow 3, Red 4, Green 2, Green 3, Yellow 5, Red 1, Green Reverse",Pick up 1 card,If there are no allowed moves you must pick up
Wild Draw 4,"Green 4, Blue 6, Yellow Skip, Red 6, Yellow 1, Wild Normal, Blue Reverse",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Blue 8,"Green 7, Green 9, Blue 1, Green Reverse, Wild Draw 4, Red 6, Green 1",Blue 1,it is the same color as the tabled card
Blue 8,"Green 7, Green 9, Blue 1, Green Reverse, Wild Draw 4, Red 6, Green 1",Wild Draw 4,Wild cards can be played on any colour
Red 0,"Yellow 8, Wild Draw 4, Red Draw 2, Green 3, Yellow 9, Wild Draw 4, Yellow 1",Wild Draw 4,Wild cards can be played on any colour
Red 0,"Yellow 8, Wild Draw 4, Red Draw 2, Green 3, Yellow 9, Wild Draw 4, Yellow 1",Red Draw 2,it is the same color as the tabled card
Red 0,"Yellow 8, Wild Draw 4, Red Draw 2, Green 3, Yellow 9, Wild Draw 4, Yellow 1",Wild Draw 4,Wild cards can be played on any colour
Blue 4,"Red 2, Blue 4, Yellow Reverse, Red 8, Red 2, Red Draw 2, Yellow 6",Blue 4,it is the same color as the tabled card
Red Reverse,"Yellow Skip, Blue 2, Green 8, Blue Draw 2, Yellow Skip, Blue 2, Red 3",Red 3,it is the same color as the tabled card
Blue Draw 2,"Green 9, Wild Draw 4, Green 1, Yellow 9, Red 1, Yellow 2, Blue Skip",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Yellow 4,"Yellow 9, Blue 6, Red 8, Yellow 1, Green 1, Red Reverse, Blue 0",Yellow 9,it is the same color as the tabled card
Yellow 4,"Yellow 9, Blue 6, Red 8, Yellow 1, Green 1, Red Reverse, Blue 0",Yellow 1,it is the same color as the tabled card
Yellow 6,"Blue 7, Yellow 9, Red 6, Red 9, Red Reverse, Green 2, Green 8",Yellow 9,it is the same color as the tabled card
Yellow 6,"Blue 7, Yellow 9, Red 6, Red 9, Red Reverse, Green 2, Green 8",Red 6,Wild cards can be played on any colour
Red 1,"Green 4, Green 5, Yellow 6, Green 6, Red 8, Red Skip, Green 0",Red 8,it is the same color as the tabled card
Red 1,"Green 4, Green 5, Yellow 6, Green 6, Red 8, Red Skip, Green 0",Red Skip,it is the same color as the tabled card
Green 4,"Green 4, Blue Skip, Yellow 7, Red Reverse, Wild Normal, Red 3, Blue Reverse",Green 4,it is the same color as the tabled card
Green 4,"Green 4, Blue Skip, Yellow 7, Red Reverse, Wild Normal, Red 3, Blue Reverse",Wild Normal,Wild cards can be played on any colour
Yellow 8,"Red 1, Blue 5, Yellow 8, Green 8, Wild Draw 4, Blue 5, Blue 1",Yellow 8,it is the same color as the tabled card
Yellow 8,"Red 1, Blue 5, Yellow 8, Green 8, Wild Draw 4, Blue 5, Blue 1",Green 8,Wild cards can be played on any colour
Yellow 8,"Red 1, Blue 5, Yellow 8, Green 8, Wild Draw 4, Blue 5, Blue 1",Wild Draw 4,Wild cards can be played on any colour
Yellow 3,"Yellow 5, Blue 6, Blue 4, Green 1, Blue 3, Blue 7, Yellow Draw 2",Yellow 5,it is the same color as the tabled card
Yellow 3,"Yellow 5, Blue 6, Blue 4, Green 1, Blue 3, Blue 7, Yellow Draw 2",Blue 3,Wild cards can be played on any colour
Yellow 3,"Yellow 5, Blue 6, Blue 4, Green 1, Blue 3, Blue 7, Yellow Draw 2",Yellow Draw 2,it is the same color as the tabled card
Red 2,"Wild Draw 4, Red 4, Red 7, Yellow 2, Yellow Draw 2, Green 5, Green Reverse",Wild Draw 4,Wild cards can be played on any colour
Red 2,"Wild Draw 4, Red 4, Red 7, Yellow 2, Yellow Draw 2, Green 5, Green Reverse",Red 4,it is the same color as the tabled card
Red 2,"Wild Draw 4, Red 4, Red 7, Yellow 2, Yellow Draw 2, Green 5, Green Reverse",Red 7,it is the same color as the tabled card
Red 2,"Wild Draw 4, Red 4, Red 7, Yellow 2, Yellow Draw 2, Green 5, Green Reverse",Yellow 2,Wild cards can be played on any colour
Green 7,"Blue 4, Green Skip, Yellow 5, Yellow 4, Blue Draw 2, Yellow 1, Red 8",Green Skip,it is the same color as the tabled card
Green 2,"Yellow 2, Green 3, Yellow 5, Blue 8, Red 3, Blue 1, Red 7",Yellow 2,Wild cards can be played on any colour
Green 2,"Yellow 2, Green 3, Yellow 5, Blue 8, Red 3, Blue 1, Red 7",Green 3,it is the same color as the tabled card
Blue Draw 2,"Green 2, Yellow Reverse, Green 1, Red 2, Red 8, Green Skip, Blue 1",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Blue 9,"Blue 2, Yellow 4, Wild Normal, Red Draw 2, Wild Draw 4, Red Draw 2, Red 8",Blue 2,it is the same color as the tabled card
Blue 9,"Blue 2, Yellow 4, Wild Normal, Red Draw 2, Wild Draw 4, Red Draw 2, Red 8",Wild Normal,Wild cards can be played on any colour
Blue 9,"Blue 2, Yellow 4, Wild Normal, Red Draw 2, Wild Draw 4, Red Draw 2, Red 8",Wild Draw 4,Wild cards can be played on any colour
Red 3,"Red Reverse, Blue 5, Green 9, Red 4, Yellow 3, Red Draw 2, Blue 3",Red Reverse,it is the same color as the tabled card
Red 3,"Red Reverse, Blue 5, Green 9, Red 4, Yellow 3, Red Draw 2, Blue 3",Red 4,it is the same color as the tabled card
Red 3,"Red Reverse, Blue 5, Green 9, Red 4, Yellow 3, Red Draw 2, Blue 3",Yellow 3,Wild cards can be played on any colour
Red 3,"Red Reverse, Blue 5, Green 9, Red 4, Yellow 3, Red Draw 2, Blue 3",Red Draw 2,it is the same color as the tabled card
Red 3,"Red Reverse, Blue 5, Green 9, Red 4, Yellow 3, Red Draw 2, Blue 3",Blue 3,Wild cards can be played on any colour
Red 2,"Yellow 4, Red 3, Wild Draw 4, Green Reverse, Yellow 8, Green 6, Green 8",Red 3,it is the same color as the tabled card
Red 2,"Yellow 4, Red 3, Wild Draw 4, Green Reverse, Yellow 8, Green 6, Green 8",Wild Draw 4,Wild cards can be played on any colour
Yellow 5,"Blue 2, Red Reverse, Yellow 9, Red 6, Red 6, Blue Draw 2, Red 0",Yellow 9,it is the same color as the tabled card
Green 1,"Red 4, Red Reverse, Wild Normal, Green Draw 2, Blue 2, Green Reverse, Blue 4",Wild Normal,Wild cards can be played on any colour
Green 1,"Red 4, Red Reverse, Wild Normal, Green Draw 2, Blue 2, Green Reverse, Blue 4",Green Draw 2,it is the same color as the tabled card
Green 1,"Red 4, Red Reverse, Wild Normal, Green Draw 2, Blue 2, Green Reverse, Blue 4",Green Reverse,it is the same color as the tabled card
Blue Reverse,"Blue 3, Red Skip, Yellow 2, Wild Normal, Green Reverse, Green 3, Red 2",Blue 3,it is the same color as the tabled card
Blue Reverse,"Blue 3, Red Skip, Yellow 2, Wild Normal, Green Reverse, Green 3, Red 2",Wild Normal,Wild cards can be played on any colour
Blue Reverse,"Blue 3, Red Skip, Yellow 2, Wild Normal, Green Reverse, Green 3, Red 2",Green Reverse,Wild cards can be played on any colour
Blue 7,"Red 0, Green Draw 2, Green 1, Yellow 7, Yellow 4, Yellow 1, Yellow 2",Yellow 7,Wild cards can be played on any colour
Blue Draw 2,"Yellow 5, Blue 3, Wild Draw 4, Green 7, Green Reverse, Red 1, Blue Skip",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Red Skip,"Red 1, Red 7, Blue Skip, Wild Draw 4, Wild Draw 4, Red 1, Blue 4",Red 1,it is the same color as the tabled card
Red Skip,"Red 1, Red 7, Blue Skip, Wild Draw 4, Wild Draw 4, Red 1, Blue 4",Red 7,it is the same color as the tabled card
Red Skip,"Red 1, Red 7, Blue Skip, Wild Draw 4, Wild Draw 4, Red 1, Blue 4",Blue Skip,Wild cards can be played on any colour
Red Skip,"Red 1, Red 7, Blue Skip, Wild Draw 4, Wild Draw 4, Red 1, Blue 4",Wild Draw 4,Wild cards can be played on any colour
Red Skip,"Red 1, Red 7, Blue Skip, Wild Draw 4, Wild Draw 4, Red 1, Blue 4",Wild Draw 4,Wild cards can be played on any colour
Red Skip,"Red 1, Red 7, Blue Skip, Wild Draw 4, Wild Draw 4, Red 1, Blue 4",Red 1,it is the same color as the tabled card
Yellow Draw 2,"Green 4, Wild Draw 4, Blue 3, Red 9, Yellow 2, Red 8, Red 9",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Blue 2,"Green Skip, Red Reverse, Red Reverse, Yellow 4, Yellow 7, Blue 8, Red 4",Blue 8,it is the same color as the tabled card
Red 1,"Red Skip, Red 4, Green 9, Wild Draw 4, Wild Draw 4, Yellow 9, Blue Skip",Red Skip,it is the same color as the tabled card
Red 1,"Red Skip, Red 4, Green 9, Wild Draw 4, Wild Draw 4, Yellow 9, Blue Skip",Red 4,it is the same color as the tabled card
Red 1,"Red Skip, Red 4, Green 9, Wild Draw 4, Wild Draw 4, Yellow 9, Blue Skip",Wild Draw 4,Wild cards can be played on any colour
Red 1,"Red Skip, Red 4, Green 9, Wild Draw 4, Wild Draw 4, Yellow 9, Blue Skip",Wild Draw 4,Wild cards can be played on any colour
Yellow Skip,"Green 5, Yellow 2, Yellow 9, Yellow 1, Blue 1, Blue 9, Blue 5",Yellow 2,it is the same color as the tabled card
Yellow Skip,"Green 5, Yellow 2, Yellow 9, Yellow 1, Blue 1, Blue 9, Blue 5",Yellow 9,it is the same color as the tabled card
Yellow Skip,"Green 5, Yellow 2, Yellow 9, Yellow 1, Blue 1, Blue 9, Blue 5",Yellow 1,it is the same color as the tabled card
Yellow 2,"Green 9, Green 8, Blue Draw 2, Wild Draw 4, Blue Reverse, Blue 8, Blue 2",Wild Draw 4,Wild cards can be played on any colour
Yellow 2,"Green 9, Green 8, Blue Draw 2, Wild Draw 4, Blue Reverse, Blue 8, Blue 2",Blue 2,Wild cards can be played on any colour
Red 4,"Red 1, Wild Draw 4, Red Draw 2, Red 9, Blue Draw 2, Blue 7, Blue 4",Red 1,it is the same color as the tabled card
Red 4,"Red 1, Wild Draw 4, Red Draw 2, Red 9, Blue Draw 2, Blue 7, Blue 4",Wild Draw 4,Wild cards can be played on any colour
Red 4,"Red 1, Wild Draw 4, Red Draw 2, Red 9, Blue Draw 2, Blue 7, Blue 4",Red Draw 2,it is the same color as the tabled card
Red 4,"Red 1, Wild Draw 4, Red Draw 2, Red 9, Blue Draw 2, Blue 7, Blue 4",Red 9,it is the same color as the tabled card
Red 4,"Red 1, Wild Draw 4, Red Draw 2, Red 9, Blue Draw 2, Blue 7, Blue 4",Blue 4,Wild cards can be played on any colour
Red 3,"Blue 4, Red 1, Wild Draw 4, Green 4, Red Skip, Red 9, Green Skip",Red 1,it is the same color as the tabled card
Red 3,"Blue 4, Red 1, Wild Draw 4, Green 4, Red Skip, Red 9, Green Skip",Wild Draw 4,Wild cards can be played on any colour
Red 3,"Blue 4, Red 1, Wild Draw 4, Green 4, Red Skip, Red 9, Green Skip",Red Skip,it is the same color as the tabled card
Red 3,"Blue 4, Red 1, Wild Draw 4, Green 4, Red Skip, Red 9, Green Skip",Red 9,it is the same color as the tabled card
Red Skip,"Wild Draw 4, Blue 3, Blue 5, Green 7, Red Draw 2, Yellow Reverse, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Red Skip,"Wild Draw 4, Blue 3, Blue 5, Green 7, Red Draw 2, Yellow Reverse, Wild Draw 4",Red Draw 2,it is the same color as the tabled card
Red Skip,"Wild Draw 4, Blue 3, Blue 5, Green 7, Red Draw 2, Yellow Reverse, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 6,"Blue 6, Wild Draw 4, Yellow Reverse, Blue Draw 2, Blue 1, Red 5, Wild Normal",Blue 6,Wild cards can be played on any colour
Yellow 6,"Blue 6, Wild Draw 4, Yellow Reverse, Blue Draw 2, Blue 1, Red 5, Wild Normal",Wild Draw 4,Wild cards can be played on any colour
Yellow 6,"Blue 6, Wild Draw 4, Yellow Reverse, Blue Draw 2, Blue 1, Red 5, Wild Normal",Yellow Reverse,it is the same color as the tabled card
Yellow 6,"Blue 6, Wild Draw 4, Yellow Reverse, Blue Draw 2, Blue 1, Red 5, Wild Normal",Wild Normal,Wild cards can be played on any colour
Red 3,"Wild Draw 4, Red 2, Yellow 7, Red 9, Blue 6, Red Draw 2, Green 7",Wild Draw 4,Wild cards can be played on any colour
Red 3,"Wild Draw 4, Red 2, Yellow 7, Red 9, Blue 6, Red Draw 2, Green 7",Red 2,it is the same color as the tabled card
Red 3,"Wild Draw 4, Red 2, Yellow 7, Red 9, Blue 6, Red Draw 2, Green 7",Red 9,it is the same color as the tabled card
Red 3,"Wild Draw 4, Red 2, Yellow 7, Red 9, Blue 6, Red Draw 2, Green 7",Red Draw 2,it is the same color as the tabled card
Red 4,"Yellow 3, Wild Normal, Blue 9, Red Draw 2, Green 1, Blue 5, Green 2",Wild Normal,Wild cards can be played on any colour
Red 4,"Yellow 3, Wild Normal, Blue 9, Red Draw 2, Green 1, Blue 5, Green 2",Red Draw 2,it is the same color as the tabled card
Green 3,"Blue 5, Green 5, Yellow 9, Yellow 2, Blue 8, Wild Normal, Yellow 1",Green 5,it is the same color as the tabled card
Green 3,"Blue 5, Green 5, Yellow 9, Yellow 2, Blue 8, Wild Normal, Yellow 1",Wild Normal,Wild cards can be played on any colour
Blue Skip,"Yellow Draw 2, Yellow 4, Green 9, Wild Normal, Blue 4, Wild Draw 4, Yellow Draw 2",Wild Normal,Wild cards can be played on any colour
Blue Skip,"Yellow Draw 2, Yellow 4, Green 9, Wild Normal, Blue 4, Wild Draw 4, Yellow Draw 2",Blue 4,it is the same color as the tabled card
Blue Skip,"Yellow Draw 2, Yellow 4, Green 9, Wild Normal, Blue 4, Wild Draw 4, Yellow Draw 2",Wild Draw 4,Wild cards can be played on any colour
Blue 1,"Yellow Reverse, Blue Reverse, Green Reverse, Wild Draw 4, Red 4, Yellow Skip, Green 4",Blue Reverse,it is the same color as the tabled card
Blue 1,"Yellow Reverse, Blue Reverse, Green Reverse, Wild Draw 4, Red 4, Yellow Skip, Green 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 4,"Blue 2, Wild Normal, Red Skip, Green 3, Yellow 9, Yellow 1, Green 8",Wild Normal,Wild cards can be played on any colour
Yellow 4,"Blue 2, Wild Normal, Red Skip, Green 3, Yellow 9, Yellow 1, Green 8",Yellow 9,it is the same color as the tabled card
Yellow 4,"Blue 2, Wild Normal, Red Skip, Green 3, Yellow 9, Yellow 1, Green 8",Yellow 1,it is the same color as the tabled card
Green Skip,"Green 1, Red 8, Yellow 6, Blue 2, Green 6, Blue 2, Blue 1",Green 1,it is the same color as the tabled card
Green Skip,"Green 1, Red 8, Yellow 6, Blue 2, Green 6, Blue 2, Blue 1",Green 6,it is the same color as the tabled card
Red Skip,"Red 1, Green 5, Green 2, Wild Draw 4, Yellow 1, Red 9, Wild Normal",Red 1,it is the same color as the tabled card
Red Skip,"Red 1, Green 5, Green 2, Wild Draw 4, Yellow 1, Red 9, Wild Normal",Wild Draw 4,Wild cards can be played on any colour
Red Skip,"Red 1, Green 5, Green 2, Wild Draw 4, Yellow 1, Red 9, Wild Normal",Red 9,it is the same color as the tabled card
Red Skip,"Red 1, Green 5, Green 2, Wild Draw 4, Yellow 1, Red 9, Wild Normal",Wild Normal,Wild cards can be played on any colour
Red 5,"Green 4, Red Reverse, Red 2, Red 4, Blue 1, Wild Normal, Green 9",Red Reverse,it is the same color as the tabled card
Red 5,"Green 4, Red Reverse, Red 2, Red 4, Blue 1, Wild Normal, Green 9",Red 2,it is the same color as the tabled card
Red 5,"Green 4, Red Reverse, Red 2, Red 4, Blue 1, Wild Normal, Green 9",Red 4,it is the same color as the tabled card
Red 5,"Green 4, Red Reverse, Red 2, Red 4, Blue 1, Wild Normal, Green 9",Wild Normal,Wild cards can be played on any colour
Wild Draw 4,"Blue 9, Red 9, Red 1, Blue Draw 2, Green 5, Blue 2, Red Reverse",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Green Skip,"Red 6, Red Draw 2, Red 9, Wild Draw 4, Wild Normal, Red 8, Red 4",Wild Draw 4,Wild cards can be played on any colour
Green Skip,"Red 6, Red Draw 2, Red 9, Wild Draw 4, Wild Normal, Red 8, Red 4",Wild Normal,Wild cards can be played on any colour
Blue Draw 2,"Green 8, Wild Normal, Blue 6, Wild Normal, Red 9, Red 4, Green 1",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Red Reverse,"Yellow Reverse, Blue Draw 2, Red Draw 2, Green 7, Green 4, Green Reverse, Blue Draw 2",Yellow Reverse,Wild cards can be played on any colour
Red Reverse,"Yellow Reverse, Blue Draw 2, Red Draw 2, Green 7, Green 4, Green Reverse, Blue Draw 2",Red Draw 2,it is the same color as the tabled card
Red Reverse,"Yellow Reverse, Blue Draw 2, Red Draw 2, Green 7, Green 4, Green Reverse, Blue Draw 2",Green Reverse,Wild cards can be played on any colour
Green Draw 2,"Wild Draw 4, Red 3, Yellow 8, Yellow 1, Yellow 5, Red 7, Green 5",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Yellow Reverse,"Blue 2, Blue 1, Red Draw 2, Red 9, Red 9, Green Draw 2, Green 8",Pick up 1 card,If there are no allowed moves you must pick up
Wild Normal,"Green 4, Yellow 8, Blue 7, Green Skip, Wild Normal, Yellow 9, Green 2",Green 4,Any card can be played on a Wild Normal
Wild Normal,"Green 4, Yellow 8, Blue 7, Green Skip, Wild Normal, Yellow 9, Green 2",Yellow 8,Any card can be played on a Wild Normal
Wild Normal,"Green 4, Yellow 8, Blue 7, Green Skip, Wild Normal, Yellow 9, Green 2",Blue 7,Any card can be played on a Wild Normal
Wild Normal,"Green 4, Yellow 8, Blue 7, Green Skip, Wild Normal, Yellow 9, Green 2",Green Skip,Any card can be played on a Wild Normal
Wild Normal,"Green 4, Yellow 8, Blue 7, Green Skip, Wild Normal, Yellow 9, Green 2",Wild Normal,Any card can be played on a Wild Normal
Wild Normal,"Green 4, Yellow 8, Blue 7, Green Skip, Wild Normal, Yellow 9, Green 2",Yellow 9,Any card can be played on a Wild Normal
Wild Normal,"Green 4, Yellow 8, Blue 7, Green Skip, Wild Normal, Yellow 9, Green 2",Green 2,Any card can be played on a Wild Normal
Yellow 8,"Green 2, Wild Normal, Red Skip, Yellow Skip, Red 0, Blue 0, Wild Normal",Wild Normal,Wild cards can be played on any colour
Yellow 8,"Green 2, Wild Normal, Red Skip, Yellow Skip, Red 0, Blue 0, Wild Normal",Yellow Skip,it is the same color as the tabled card
Yellow 8,"Green 2, Wild Normal, Red Skip, Yellow Skip, Red 0, Blue 0, Wild Normal",Wild Normal,Wild cards can be played on any colour
Green 4,"Red 1, Yellow 5, Green 4, Blue 3, Green 6, Blue Skip, Red Draw 2",Green 4,it is the same color as the tabled card
Green 4,"Red 1, Yellow 5, Green 4, Blue 3, Green 6, Blue Skip, Red Draw 2",Green 6,it is the same color as the tabled card
Yellow 7,"Wild Draw 4, Red 3, Yellow 7, Green 9, Green 6, Green Skip, Red 7",Wild Draw 4,Wild cards can be played on any colour
Yellow 7,"Wild Draw 4, Red 3, Yellow 7, Green 9, Green 6, Green Skip, Red 7",Yellow 7,it is the same color as the tabled card
Yellow 7,"Wild Draw 4, Red 3, Yellow 7, Green 9, Green 6, Green Skip, Red 7",Red 7,Wild cards can be played on any colour
Blue 7,"Yellow Skip, Blue 0, Green 5, Green 8, Blue Skip, Blue 7, Red 3",Blue 0,it is the same color as the tabled card
Blue 7,"Yellow Skip, Blue 0, Green 5, Green 8, Blue Skip, Blue 7, Red 3",Blue Skip,it is the same color as the tabled card
Blue 7,"Yellow Skip, Blue 0, Green 5, Green 8, Blue Skip, Blue 7, Red 3",Blue 7,it is the same color as the tabled card
Blue 4,"Yellow Draw 2, Red Draw 2, Blue Draw 2, Blue 5, Red 6, Red Reverse, Blue 5",Blue Draw 2,it is the same color as the tabled card
Blue 4,"Yellow Draw 2, Red Draw 2, Blue Draw 2, Blue 5, Red 6, Red Reverse, Blue 5",Blue 5,it is the same color as the tabled card
Blue 4,"Yellow Draw 2, Red Draw 2, Blue Draw 2, Blue 5, Red 6, Red Reverse, Blue 5",Blue 5,it is the same color as the tabled card
Green 5,"Blue Reverse, Green 3, Green Draw 2, Wild Normal, Red Skip, Blue 6, Green 2",Green 3,it is the same color as the tabled card
Green 5,"Blue Reverse, Green 3, Green Draw 2, Wild Normal, Red Skip, Blue 6, Green 2",Green Draw 2,it is the same color as the tabled card
Green 5,"Blue Reverse, Green 3, Green Draw 2, Wild Normal, Red Skip, Blue 6, Green 2",Wild Normal,Wild cards can be played on any colour
Green 5,"Blue Reverse, Green 3, Green Draw 2, Wild Normal, Red Skip, Blue 6, Green 2",Green 2,it is the same color as the tabled card
Green 5,"Wild Draw 4, Blue 8, Red Draw 2, Blue 6, Green 9, Red Skip, Red 7",Wild Draw 4,Wild cards can be played on any colour
Green 5,"Wild Draw 4, Blue 8, Red Draw 2, Blue 6, Green 9, Red Skip, Red 7",Green 9,it is the same color as the tabled card
Blue 4,"Wild Normal, Blue Skip, Blue 0, Yellow 0, Blue 8, Wild Draw 4, Red 5",Wild Normal,Wild cards can be played on any colour
Blue 4,"Wild Normal, Blue Skip, Blue 0, Yellow 0, Blue 8, Wild Draw 4, Red 5",Blue Skip,it is the same color as the tabled card
Blue 4,"Wild Normal, Blue Skip, Blue 0, Yellow 0, Blue 8, Wild Draw 4, Red 5",Blue 0,it is the same color as the tabled card
Blue 4,"Wild Normal, Blue Skip, Blue 0, Yellow 0, Blue 8, Wild Draw 4, Red 5",Blue 8,it is the same color as the tabled card
Blue 4,"Wild Normal, Blue Skip, Blue 0, Yellow 0, Blue 8, Wild Draw 4, Red 5",Wild Draw 4,Wild cards can be played on any colour
Yellow Draw 2,"Yellow 3, Yellow 7, Yellow 8, Green Reverse, Green Skip, Green 0, Yellow 6",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Red Reverse,"Green Draw 2, Blue 2, Blue 5, Green Skip, Green 7, Red 7, Yellow 1",Red 7,it is the same color as the tabled card
Yellow Reverse,"Red 7, Blue Reverse, Blue 5, Blue Reverse, Yellow 9, Red 7, Yellow 7",Blue Reverse,Wild cards can be played on any colour
Yellow Reverse,"Red 7, Blue Reverse, Blue 5, Blue Reverse, Yellow 9, Red 7, Yellow 7",Blue Reverse,Wild cards can be played on any colour
Yellow Reverse,"Red 7, Blue Reverse, Blue 5, Blue Reverse, Yellow 9, Red 7, Yellow 7",Yellow 9,it is the same color as the tabled card
Yellow Reverse,"Red 7, Blue Reverse, Blue 5, Blue Reverse, Yellow 9, Red 7, Yellow 7",Yellow 7,it is the same color as the tabled card
Red 1,"Green 9, Yellow Skip, Yellow Reverse, Red 8, Yellow Draw 2, Wild Draw 4, Yellow 1",Red 8,it is the same color as the tabled card
Red 1,"Green 9, Yellow Skip, Yellow Reverse, Red 8, Yellow Draw 2, Wild Draw 4, Yellow 1",Wild Draw 4,Wild cards can be played on any colour
Red 1,"Green 9, Yellow Skip, Yellow Reverse, Red 8, Yellow Draw 2, Wild Draw 4, Yellow 1",Yellow 1,Wild cards can be played on any colour
Blue 5,"Green 5, Red 9, Green 1, Red 4, Green 2, Yellow 3, Red 1",Green 5,Wild cards can be played on any colour
Yellow 6,"Green 4, Yellow Skip, Green 5, Yellow 6, Green 9, Green 5, Green Skip",Yellow Skip,it is the same color as the tabled card
Yellow 6,"Green 4, Yellow Skip, Green 5, Yellow 6, Green 9, Green 5, Green Skip",Yellow 6,it is the same color as the tabled card
Red 4,"Wild Draw 4, Green 3, Green 6, Red Reverse, Green 9, Blue 0, Blue 3",Wild Draw 4,Wild cards can be played on any colour
Red 4,"Wild Draw 4, Green 3, Green 6, Red Reverse, Green 9, Blue 0, Blue 3",Red Reverse,it is the same color as the tabled card
Green 6,"Yellow 9, Wild Normal, Blue 6, Wild Normal, Red Draw 2, Blue 6, Wild Draw 4",Wild Normal,Wild cards can be played on any colour
Green 6,"Yellow 9, Wild Normal, Blue 6, Wild Normal, Red Draw 2, Blue 6, Wild Draw 4",Blue 6,Wild cards can be played on any colour
Green 6,"Yellow 9, Wild Normal, Blue 6, Wild Normal, Red Draw 2, Blue 6, Wild Draw 4",Wild Normal,Wild cards can be played on any colour
Green 6,"Yellow 9, Wild Normal, Blue 6, Wild Normal, Red Draw 2, Blue 6, Wild Draw 4",Blue 6,Wild cards can be played on any colour
Green 6,"Yellow 9, Wild Normal, Blue 6, Wild Normal, Red Draw 2, Blue 6, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
